// Generated by run_all.py at 2024-01-23 05:08:45.466326


Test      DUT Time    Model Time
------  ----------  ------------
test0      89.5842       44.422
test1     487.034        78.3166
test2     149.803        43.1026
test3     182.659        34.8892
test4      99.3701       36.4167
test5     103.619        34.9988
test6      96.7651       40.4483
test7     136.874        77.3471
test8     853.988       112.295
test9    1261.89        150.705
